Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
1,1-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Life Lessons 🎯 Mavsumiy,Yangi yil: maqsadni tizimga aylantirish,Yil boshida niyatni aniq tizim va kichik qadamga aylantirish yo'li.,Hikmat adabiyoti,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,"Bu yil uchun bitta aniq, o'lchanadigan maqsad yozib qo'y."
2,2-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Book Box,Atomic Habits — 1% har kuni yaxshilanish kuchi,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Asl kitob + muallif intervyulari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Bugun shu g'oyani bitta qaroringda sinab ko'r.
3,3-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Habits,Habit loop: ishora–harakat–mukofot,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",James Clear — Atomic Habits,07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Bugun shu odatni 2 daqiqalik versiyada boshla.
4,4-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Money Box,Murakkab foiz (compound) mo'jizasi,Pulni boshqarishda xotirjam nazorat va sog'lom mentalitet beradi.,The Psychology of Money (Housel),07:30,"Minimal tanga/banka yoki o'sish-egri chizig'i, vazmin tilla aksent",O'rta,1 daq,Bugun bitta keraksiz xarajatni jamg'armaga yo'naltir.
5,5-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,English Box,'Get the hang of it' — o'rganib olmoq,Har kuni bitta tabiiy ibora bilan ingliz tilini amaliy o'stiradi.,Oxford / Cambridge lug'ati,07:00,"Toza tipografik karta — so'z katta yozilgan, ikki tilli minimal layout",Boshlang'ich,<1 daq,Bugun shu iborani bitta jumlada ishlat.
6,6-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Mind Box,Tasdiqlash xatosi (confirmation bias),"O'z xulqini tushunib, ongli qaror qabul qilishga yordam beradi.",Kahneman / Cialdini,07:00,"Abstrakt miya yoki ikki-yo'l silueti, vazmin premium palitra",O'rta,1 daq,Bugun shu his kelganda nomini ayt va bir nafas ol.
7,7-Yanvar,1,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Asoslar,Q1,Productivity,Deep work bloklari,Ko'p emas — muhim ishni fokus bilan bajarish yo'lini beradi.,Cal Newport — Deep Work,07:30,"Minimal fokus/soat yoki bitta-vazifa motivi, tinchlantiruvchi",O'rta,1 daq,Bugun eng muhim bitta ishni birinchi qil.
8,8-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Islamic Wisdom,Niyatning ahamiyati (a'mollar niyatga bog'liq),"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",Qur'on va sahih hadis (to'g'ri nisbat),07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun shu amalni bir marta niyat bilan bajar.
9,9-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Business Box,Product-market fit nima,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Harvard Business Review,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Bugun so'ra: kim sening haqiqiy mijozing?
10,10-Yanvar,2,Yangi boshlanish — maqsad va tizim,Yangi boshlanish — maqsad va tizim · Chuqurlashish,Q1,Interesting Facts,Asal nega buzilmaydi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Ilmiy jurnallar,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Buni bilarmidingiz? Yana qiziq faktni izohda yozing.
