Kun,Slot,Sana,Hafta kuni,Kategoriya,Mavzu,Daraja,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,CTA taklifi
1,0,1-Yanvar,Payshanba,Kino-Qoshiq Tahlili,Multfilmlardagi kundalik salomlashish ohangi va imo-ishoralar,A1,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Ommaviy arab multfilmlari/seriallari (umumiy uslub tahlili),08:00,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Shu janrdagi filmni tomosha qilganmisiz? Ulashing.
1,1,1-Yanvar,Payshanba,Kunlik Ibora,على الرحب والسعة — marhamat/arzimaydi (rasmiy javob),A2,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Hans Wehr lug'ati,19:30,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Bugun shu iborani bitta jumlada ishlat va izohda yoz.
2,0,2-Yanvar,Juma,Sinonim-Antonim,كبير (katta) — sinonim: ضخم (ulkan) / antonim: صغير (kichik),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Klassik arab lug'atlari,08:00,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Shu ikki so'zdan o'zingiz bitta jumla tuzing.
2,1,2-Yanvar,Juma,Tarjima Mashqi,1) Карим ва Анвар боғда ишлаяптилар.  2) Аканг қаерда ўқийди?,A1,"Haqiqiy, tayyor manbadagi gapni tizimli, ketma-ket tarjima qilish — kursdek izchil o'sishni ta'minlaydi.",Nuriddin — «Arab tiliga tarjima qilish uchun mavzulashtirilgan gaplar» (tahrir: Usmon Mahmudov),19:30,"Qo'lyozma daftar sahifasi motivi, gap raqami va tarjima strelkasi (UZ -> AR)","Shu gaplarni o'zingiz arabchaga tarjima qilib ko'ring, keyin izohdagi javob bilan solishtiring."
3,0,3-Yanvar,Shanba,Kitaba Shabloni,Fikr boshlash: في رأيي / من وجهة نظري (menimcha),B1,Tayyor qolip bilan yozma ishni tezroq va yuqori ballga yozish mumkin.,CEFR yozma imtihon namunalari,08:00,"Qalam+qog'oz motivi, bog'lovchi so'z markazda katta harflarda, misol jumla pastda","Shu qolipdan foydalanib 2-3 jumla yozing, men tekshirib beraman."
3,1,3-Yanvar,Shanba,Imtihon Strategiyasi,Istima': savollarni audiodan OLDIN o'qib chiqish,A2,To'g'ri strategiya bilim darajasidan qat'i nazar ballni sezilarli oshiradi.,CEFR rasmiy namuna testlari,19:30,"Soat/checklist motivi, bitta aniq layfhak sarlavhada katta harflarda","Sizda qanday imtihon xatolari bo'lgan? Ulashing, birga tahlil qilamiz."
4,0,4-Yanvar,Yakshanba,Fusha-Ammiya,Xohlayman: أريد (Fusha) / عايز (Misr) / بدّي (Shom) / أبغى (Xalij),A2,"Real hayotda (filmlar, suhbat) Fusha yetarli emas — lahjalarni tanish tushunishni osonlashtiradi.",Qiyosiy lahja lug'atlari,08:00,"Bir so'z, 3-4 mamlakat bayrog'i ostida turli yozilishda (qiyosiy jadval uslubida)",Qaysi mamlakat filmini/serialini ko'p tomosha qilasiz? Yozing.
4,1,4-Yanvar,Yakshanba,Kino-Qoshiq Tahlili,Qo'shiq matnidagi takrorlanuvchi iboralar orqali yodlash usuli,A2,"Jonli, tabiiy tilni eshitib-ko'rib o'rganish yodlashni his-tuyg'u bilan bog'laydi.",Mashhur arab qo'shiqlari matni uslubi,19:30,"Ekran/parda motivi + subtitr chizig'i, pastda kalit ibora ajratib ko'rsatilgan",Yoqtirgan arabcha qo'shiqni/filmni izohda tavsiya qiling.
5,0,5-Yanvar,Dushanba,Kunlik Ibora,إن شاء الله — Alloh xohlasa (kelajak reja),A1,"Yangi so'z eng yaxshi tirik jumla ichida, real vaziyatda esda qoladi.",Klassik/MSA manbalari,08:00,"So'z/ibora nafis arab kalligrafiyasida + o'zbekcha tarjima, kontekst jumlasi bilan",Shu iborani bilarmidingiz? Izohda o'z misolingizni qoldiring.
5,1,5-Yanvar,Dushanba,Sinonim-Antonim,سعيد (baxtli) — sinonim: مسرور / antonim: حزين (g'amgin),A1,So'zni juftlikda (o'xshash/qarama-qarshi) o'rganish lug'at boyligini tezroq oshiradi.,Zamonaviy MSA matnlar,19:30,Ikki so'z yonma-yon (yashil=sinonim yoki qizil=antonim belgisi) + arab maqoli qismi,Bu maqolga o'xshash o'zbekcha maqolni izohda yozing.
